////////////////// KILLED UNITS DATA /////////////////////

Td  	ID  	Tj  	Df  	Dd  	Db
21   	1   	16   	0   	5   	5
26   	5   	16   	10   	0   	10
27   	3   	16   	11   	0   	11
38   	2003   	5   	11   	22   	33
40   	2012   	11   	8   	21   	29
42   	2025   	22   	3   	17   	20
42   	2029   	22   	4   	16   	20
42   	2019   	14   	8   	20   	28
47   	2030   	25   	3   	19   	22
48   	2034   	25   	4   	19   	23
51   	7   	21   	0   	30   	30
51   	12   	22   	0   	29   	29
51   	19   	27   	0   	24   	24
51   	2020   	15   	7   	29   	36
53   	2024   	15   	7   	31   	38
59   	2064   	41   	1   	17   	18
66   	2046   	35   	6   	25   	31
66   	2018   	14   	2   	50   	52
69   	2041   	32   	5   	32   	37
70   	2001   	5   	11   	54   	65
72   	2055   	40   	6   	26   	32
74   	2060   	41   	7   	26   	33
81   	2009   	8   	9   	64   	73
83   	2059   	40   	1   	42   	43
84   	2007   	8   	8   	68   	76
87   	2013   	11   	9   	67   	76
91   	2043   	32   	5   	54   	59
94   	2050   	39   	6   	49   	55
94   	2006   	8   	8   	78   	86
95   	2075   	64   	7   	24   	31
96   	54   	51   	45   	0   	45
96   	2057   	40   	7   	49   	56
96   	2058   	40   	7   	49   	56
97   	2051   	39   	11   	47   	58
98   	2049   	35   	1   	62   	63
100   	2026   	22   	4   	74   	78
102   	2038   	27   	4   	71   	75
106   	2031   	25   	3   	78   	81
107   	2032   	25   	4   	78   	82
110   	2035   	27   	3   	80   	83
113   	2039   	27   	4   	82   	86
115   	2010   	11   	6   	98   	104
119   	2044   	32   	0   	87   	87
119   	2048   	35   	6   	78   	84
121   	84   	81   	0   	40   	40
122   	20   	27   	1   	94   	95
122   	2070   	60   	7   	55   	62
124   	2033   	25   	2   	97   	99
125   	2074   	60   	8   	57   	65
126   	2087   	70   	12   	44   	56
128   	2094   	71   	12   	45   	57
132   	2063   	41   	7   	84   	91
135   	2104   	88   	0   	47   	47
135   	2083   	68   	11   	56   	67
139   	2068   	45   	8   	86   	94
139   	2069   	45   	8   	86   	94
141   	2008   	8   	9   	124   	133
142   	2142   	133   	2   	7   	9
147   	2   	16   	0   	131   	131
147   	2015   	14   	7   	126   	133
148   	2037   	27   	4   	117   	121
151   	2065   	45   	7   	99   	106
156   	2077   	64   	8   	84   	92
160   	2004   	5   	15   	140   	155
162   	2028   	22   	4   	136   	140
163   	2121   	112   	11   	40   	51
